period,tax_effect_of_unusual_items,tax_rate_for_calcs,normalized_ebitda,total_unusual_items,total_unusual_items_excluding_goodwill,net_income_from_continuing_operation_net_minority_interest,reconciled_depreciation,reconciled_cost_of_revenue,ebitda,ebit,net_interest_income,interest_expense,normalized_income,net_income_from_continuing_and_discontinued_operation,total_expenses,diluted_average_shares,basic_average_shares,diluted_eps,basic_eps,diluted_ni_availto_com_stockholders,net_income_common_stockholders,otherunder_preferred_stock_dividend,net_income,minority_interests,net_income_including_noncontrolling_interests,net_income_continuous_operations,tax_provision,pretax_income,other_non_operating_income_expenses,special_income_charges,net_non_operating_interest_income_expense,interest_expense_non_operating,operating_income,operating_expense,other_operating_expenses,depreciation_and_amortization_in_income_statement,depreciation_income_statement,gross_profit,cost_of_revenue,total_revenue,operating_revenue,ticker,company,ingested_at,processed_at,restructuring_and_mergern_acquisition,net_income_discontinuous_operations,other_special_charges,impairment_of_capital_assets,research_and_development
2025-12-31,-190210617.941726,0.247896,4165.79,-767300000.0,-767300000.0,2749.82,1192600000.0,10704.98,4089.06,39698000000.0,-313.63,313.63,2807.53,2749.82,11767.75,279453252.0,279169543.0,98.4,98.5,27498200000.0,2749.82,0.0,2749.82,0.0,2749.82,2749.82,9063500000.0,3656.17,436.04,-76.73,-313.63,313.63,3610.49,1062.77,1253.48,119.26,119.26,4673.26,10704.98,15378.24,15378.24,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.444122,2026-03-18T06:48:09.076498,,,,,
2025-09-30,0.0,0.292341,3404.49,0.0,0.0,2122.03,1189900000.0,10517.3,3404.49,32855000000.0,-286.84,286.84,2122.03,2122.03,11909.47,279582345.0,279214474.0,75.9,76.0,21220300000.0,2122.03,0.0,2122.03,0.0,2122.03,2122.03,8766300000.0,2998.66,575.8,0.0,-286.84,286.84,3344.17,1392.17,1226.83,118.99,118.99,4736.34,10517.3,15253.64,15253.64,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.444122,2026-03-18T06:48:09.076498,,,,,
2025-06-30,0.0,0.253394,3301.92,0.0,0.0,2210.44,1175100000.0,8775.93,3301.92,31844100000.0,-223.76,223.76,2210.44,2210.44,9971.16,279448799.0,279095960.0,79.1,79.2,22104400000.0,2210.44,0.0,2210.44,0.0,2210.44,2210.44,7502100000.0,2960.65,508.98,0.0,-223.76,223.76,2675.43,1195.23,1044.31,117.51,117.51,3870.66,8775.93,12646.59,12646.59,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.444122,2026-03-18T06:48:09.076498,,,,,
2025-03-31,1445775508.708936,0.274685,2223.64,5263400000.0,5263400000.0,1801.85,1192300000.0,9052.34,2749.98,26307500000.0,730.33,146.52,1420.09,1801.85,9626.24,,,,,18018500000.0,1801.85,0.0,1801.85,0.0,1801.85,1801.85,6823800000.0,2484.23,-1034.01,-152.99,730.33,146.52,2578.25,573.9,-554.58,119.23,102.72,3152.15,9052.34,12204.49,12204.49,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.444122,2026-03-18T06:48:09.076498,,,,,
2024-12-31,0.0,0.236675,3098.36,0.0,0.0,2195.65,1017200000.0,9139.44,3098.36,29966400000.0,-120.21,120.21,2195.65,2195.65,10039.85,279700637.0,278989835.0,78.5,78.7,21956500000.0,2195.65,0.0,2195.65,0.0,2195.65,2195.65,6807800000.0,2876.43,347.53,0.0,-120.21,120.21,2649.11,900.41,794.19,101.72,101.72,3549.52,9139.44,12688.96,12688.96,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.444122,2026-03-18T06:48:09.076498,,,,,
2024-09-30,,,,,,,,,,,,,,,,279322581.0,278760563.0,49.6,49.7,,,,,,,,,,,,,,,,,,,,,,,BAJAJ-AUTO.NS,Bajaj Auto,2026-03-18T06:14:27.444122,2026-03-18T06:48:09.076498,,,,,
2025-12-31,-293264742.904082,0.246441,2049.42,-1190000000.0,-1190000000.0,1267.55,2186100000.0,8314.04,1930.42,17118100000.0,-19.64,19.64,1357.22,1267.55,10859.21,200244866.0,200055240.0,63.3,63.36,12675500000.0,1267.55,0.0,1267.55,-76000000.0,1275.15,1275.15,4170200000.0,1692.17,297.76,-119.0,-19.64,19.64,1627.61,2545.17,1572.97,218.61,218.61,4172.78,8314.04,12486.82,12486.82,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,,,,,
2025-09-30,0.0,0.256573,2006.4,,,1308.89,2102700000.0,8081.19,2006.4,17961300000.0,-19.25,19.25,1308.89,1308.89,10564.62,200319865.0,200105488.0,65.34,65.41,13088900000.0,1308.89,0.0,1308.89,-120900000.0,1320.98,1320.98,4559000000.0,1776.88,240.39,,-19.25,19.25,1653.77,2483.43,1547.66,210.27,210.27,4137.2,8081.19,12218.39,12218.39,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,,,,,
2025-06-30,0.0,0.197722,2352.28,,,1705.29,2056100000.0,6447.84,2352.28,21466700000.0,-20.66,20.66,1705.29,1705.29,8520.46,200221909.0,200010556.0,85.17,85.26,17052900000.0,1705.29,0.0,1705.29,-3600000.0,1705.65,1705.65,4203600000.0,2126.01,309.94,,-20.66,20.66,1207.29,2072.62,1217.94,205.61,205.61,3279.91,6447.84,9727.75,9727.75,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,,,,,
2025-03-31,1446282339.559463,0.253152,1214.67,5713100000.0,5713100000.0,1161.33,2041400000.0,6569.51,1785.98,15818400000.0,428.81,16.93,734.65,1161.33,8480.32,,,,,11613300000.0,1161.33,0.0,1161.33,-74200000.0,1168.75,1168.75,3961600000.0,1564.91,274.19,-1.9,428.81,16.93,1278.56,1910.81,-1253.27,204.14,35.65,3189.37,6569.51,9758.88,9758.88,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,,,,,
2024-12-31,0.0,0.25957,1722.4,0.0,0.0,1107.55,2089100000.0,6672.52,1722.4,15134900000.0,-16.55,16.55,1107.55,1107.55,8961.08,200244079.0,199990971.0,55.31,55.38,11075500000.0,1107.55,0.0,1107.55,-8300000.0,1108.38,1108.38,3885600000.0,1496.94,306.42,0.0,-16.55,16.55,1298.81,2288.56,1396.41,208.91,208.91,3587.37,6672.52,10259.89,10259.89,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,,,,,
2024-09-30,,,,0.0,0.0,,,,,,,,,,,200397513.0,199983080.0,53.08,53.19,,,,,,,,,,,0.0,,,,,,,,,,,,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,0.0,,,,
2024-06-30,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,HEROMOTOCO.NS,Hero MotoCorp,2026-03-18T06:14:28.374030,2026-03-18T06:48:09.094138,,,,,
2025-12-31,0.0,0.211132,6713.6,,,3879.1,17346000000.0,36219.5,6713.6,49790000000.0,-61.7,61.7,3879.1,3879.1,43698.7,314402658.0,314402658.0,123.38,123.38,38791000000.0,3879.1,0.0,3879.1,0.0,3879.1,3879.1,10382000000.0,4917.3,1055.1,,-61.7,61.7,3838.5,7479.2,5410.6,1734.6,1734.6,11317.7,36219.5,47537.2,47537.2,MARUTI.NS,Maruti Suzuki,2026-03-18T06:14:24.856510,2026-03-18T06:48:09.108065,,,,,
2025-06-30,0.0,0.232851,6546.3,,,3792.4,15560000000.0,27272.8,6546.3,49903000000.0,-46.8,46.8,3792.4,3792.4,33557.5,314408887.0,314408887.0,120.62,120.62,37924000000.0,3792.4,0.0,3792.4,0.0,3792.4,3792.4,11511000000.0,4943.5,1888.2,,-46.8,46.8,3066.6,6284.7,4661.5,1556.0,1556.0,9351.3,27272.8,36624.1,36624.1,MARUTI.NS,Maruti Suzuki,2026-03-18T06:14:24.856510,2026-03-18T06:48:09.108065,,,,,
2025-03-31,0.0,0.204689,6427.1,,,3911.1,14618000000.0,35379.2,6427.1,49653000000.0,385.3,47.6,3911.1,3911.1,37861.0,,,,,39111000000.0,3911.1,0.0,3911.1,0.0,3911.1,3911.1,10066000000.0,4917.7,-3401.1,,385.3,47.6,3339.6,2481.8,-7530.3,1461.8,1279.2,5821.4,35379.2,41200.6,41200.6,MARUTI.NS,Maruti Suzuki,2026-03-18T06:14:24.856510,2026-03-18T06:48:09.108065,,,,,
