ticker,date,open,high,low,close,volume,ingested_at,source,daily_return,ma_5,ma_20,rsi_14,volatility_20d,price_vs_ma20,processed_at,rel_return_vs_index
BAJAJ-AUTO.NS,2025-03-19,7484.317988176434,7575.653100074049,7430.921270708013,7530.9853515625,409356,2026-03-19T05:07:05.616033+00:00,yfinance,,7530.99,7530.99,,,-1e-06,2026-03-19T05:07:25.428521,
BAJAJ-AUTO.NS,2025-03-20,7543.761470774328,7755.397770662862,7531.131372070313,7724.2373046875,606109,2026-03-19T05:07:05.616033+00:00,yfinance,0.025661,7627.61,7627.61,,,0.012668,2026-03-19T05:07:25.428521,0.011423
BAJAJ-AUTO.NS,2025-03-21,7772.026333966735,7949.527751055698,7741.792576110923,7868.43310546875,703280,2026-03-19T05:07:05.616033+00:00,yfinance,0.018668,7707.89,7707.89,,,0.020828,2026-03-19T05:07:25.428521,0.01252
BAJAJ-AUTO.NS,2025-03-24,7917.148103578892,8010.921897107962,7870.529790472111,7924.70654296875,453508,2026-03-19T05:07:05.616033+00:00,yfinance,0.007152,7762.09,7762.09,,,0.02095,2026-03-19T05:07:25.428521,-0.001246
BAJAJ-AUTO.NS,2025-03-25,7958.305323741569,7966.059010221992,7755.446560587372,7808.11181640625,824076,2026-03-19T05:07:05.616033+00:00,yfinance,-0.014713,7771.29,7771.29,,,0.004738,2026-03-19T05:07:25.428521,-0.005547
BAJAJ-AUTO.NS,2025-03-26,7816.255543326521,7848.537489914551,7714.484717331428,7779.92626953125,391366,2026-03-19T05:07:05.616033+00:00,yfinance,-0.00361,7821.08,7772.73,,0.016338,0.000926,2026-03-19T05:07:25.428521,-0.003849
BAJAJ-AUTO.NS,2025-03-27,7705.706809522241,7840.393414117286,7658.161789023037,7777.19482421875,651971,2026-03-19T05:07:05.616033+00:00,yfinance,-0.000351,7831.67,7773.37,,0.014889,0.000492,2026-03-19T05:07:25.428521,0.010046
BAJAJ-AUTO.NS,2025-03-28,7773.391413088225,7826.544308451572,7617.687659802979,7684.1044921875,392400,2026-03-19T05:07:05.616033+00:00,yfinance,-0.01197,7794.81,7762.21,,0.015105,-0.010062,2026-03-19T05:07:25.428521,-0.001687
BAJAJ-AUTO.NS,2025-04-01,7442.380613504189,7849.073408135462,7442.380613504189,7795.4814453125,283618,2026-03-19T05:07:05.616033+00:00,yfinance,0.014494,7768.96,7765.91,,0.014566,0.003808,2026-03-19T05:07:25.428521,0.017323
BAJAJ-AUTO.NS,2025-04-02,7765.198958689809,7883.988172019122,7748.619156843824,7873.40673828125,237191,2026-03-19T05:07:05.616033+00:00,yfinance,0.009996,7782.02,7776.66,,0.013751,0.012441,2026-03-19T05:07:25.428521,0.001821
BAJAJ-AUTO.NS,2025-04-03,7743.791607693089,7743.791607693089,7646.214784253895,7716.63037109375,470005,2026-03-19T05:07:05.616033+00:00,yfinance,-0.019912,7769.36,7771.2,,0.015176,-0.007022,2026-03-19T05:07:25.428521,-0.008475
BAJAJ-AUTO.NS,2025-04-04,7685.226016633114,7694.832644396336,7463.105429667607,7495.1435546875,461228,2026-03-19T05:07:05.616033+00:00,yfinance,-0.028703,7712.95,7748.2,,0.017206,-0.03266,2026-03-19T05:07:25.428521,-0.00173
BAJAJ-AUTO.NS,2025-04-07,7119.562117264753,7175.689433608468,6914.118957712413,7126.19384765625,469629,2026-03-19T05:07:05.616033+00:00,yfinance,-0.049225,7601.37,7700.35,,0.021647,-0.074562,2026-03-19T05:07:25.428521,-0.011465
BAJAJ-AUTO.NS,2025-04-08,7201.9736589058375,7343.731066264454,7164.181461833239,7312.716796875,259199,2026-03-19T05:07:05.616033+00:00,yfinance,0.026174,7504.82,7672.66,,0.022391,-0.046912,2026-03-19T05:07:25.428521,0.009894
BAJAJ-AUTO.NS,2025-04-09,7339.439744346171,7442.673014091853,7276.094956658049,7385.13134765625,261256,2026-03-19T05:07:05.616033+00:00,yfinance,0.009903,7407.16,7653.49,41.71,0.021747,-0.035064,2026-03-19T05:07:25.428521,0.009791
BAJAJ-AUTO.NS,2025-04-11,7528.692957495959,7587.64897274675,7447.598316108321,7576.8232421875,290737,2026-03-19T05:07:05.616033+00:00,yfinance,0.025956,7379.2,7648.7,49.87,0.022096,-0.009397,2026-03-19T05:07:25.428521,0.005686
BAJAJ-AUTO.NS,2025-04-15,7802.25986492402,7841.27116424864,7634.998919069711,7797.87109375,387999,2026-03-19T05:07:05.616033+00:00,yfinance,0.029174,7439.75,7657.48,57.3,0.022508,0.018334,2026-03-19T05:07:25.428521,-0.004772
BAJAJ-AUTO.NS,2025-04-16,7801.284518598784,7801.772159836351,7670.109025693229,7764.71142578125,294161,2026-03-19T05:07:05.616033+00:00,yfinance,-0.004252,7567.45,7663.43,55.96,0.021853,0.013216,2026-03-19T05:07:25.428521,3e-06
BAJAJ-AUTO.NS,2025-04-17,7796.408161836064,7855.90039324362,7670.10908040527,7819.81494140625,274331,2026-03-19T05:07:05.616033+00:00,yfinance,0.007097,7668.87,7671.66,57.73,0.021234,0.019312,2026-03-19T05:07:25.428521,-0.003174
BAJAJ-AUTO.NS,2025-04-21,7812.012979785541,8070.46284740641,7753.496028626098,8043.642578125,285132,2026-03-19T05:07:05.616033+00:00,yfinance,0.028623,7800.57,7690.26,64.04,0.021501,0.045952,2026-03-19T05:07:25.428521,0.007433
BAJAJ-AUTO.NS,2025-04-22,7983.662615229817,7984.150256484107,7875.406256777519,7939.77490234375,394636,2026-03-19T05:07:05.616033+00:00,yfinance,-0.012913,7873.16,7710.7,59.59,0.021254,0.029709,2026-03-19T05:07:25.428521,-0.016473
BAJAJ-AUTO.NS,2025-04-23,7910.516370232497,8089.480709270552,7851.999420138311,8057.29638671875,598686,2026-03-19T05:07:05.616033+00:00,yfinance,0.014802,7925.05,7727.36,62.75,0.020774,0.042697,2026-03-19T05:07:25.428521,-0.008973
BAJAJ-AUTO.NS,2025-04-24,8055.833322220021,8122.152531168079,7967.082616127766,7998.779296875,322100,2026-03-19T05:07:05.616033+00:00,yfinance,-0.007263,7971.86,7733.87,60.23,0.020508,0.034253,2026-03-19T05:07:25.428521,-0.004726
BAJAJ-AUTO.NS,2025-04-25,8021.698387018744,8055.345632532683,7768.124942565872,7835.41943359375,508224,2026-03-19T05:07:05.616033+00:00,yfinance,-0.020423,7974.98,7729.41,53.74,0.020995,0.013715,2026-03-19T05:07:25.428521,-0.003745
BAJAJ-AUTO.NS,2025-04-28,7835.419691364756,7933.435583695122,7773.976893187511,7895.88720703125,282481,2026-03-19T05:07:05.616033+00:00,yfinance,0.007717,7945.43,7733.8,55.64,0.020786,0.020958,2026-03-19T05:07:25.428521,-0.00858
BAJAJ-AUTO.NS,2025-04-29,7935.3862102811,7967.570533385539,7821.7657968972435,7878.81982421875,228383,2026-03-19T05:07:05.616033+00:00,yfinance,-0.002162,7933.24,7738.74,54.95,0.020772,0.018101,2026-03-19T05:07:25.428521,0.000249
BAJAJ-AUTO.NS,2025-04-30,7860.777029985212,7877.844473908877,7780.316222916505,7831.5185546875,447067,2026-03-19T05:07:05.616033+00:00,yfinance,-0.006004,7888.08,7741.46,53.0,0.020828,0.011633,2026-03-19T05:07:25.428521,-0.006423
BAJAJ-AUTO.NS,2025-05-02,7802.259985774567,7886.1342806216435,7610.129333624868,7627.19677734375,379515,2026-03-19T05:07:05.616033+00:00,yfinance,-0.02609,7813.77,7738.61,45.47,0.021503,-0.014397,2026-03-19T05:07:25.428521,-0.025108
BAJAJ-AUTO.NS,2025-05-05,7674.98568979305,7767.637527969598,7655.96768090418,7724.72509765625,250175,2026-03-19T05:07:05.616033+00:00,yfinance,0.012787,7791.63,7735.08,49.18,0.021445,-0.001339,2026-03-19T05:07:25.428521,-0.005731
BAJAJ-AUTO.NS,2025-05-06,7733.990055175689,7845.172257734331,7714.484405603997,7749.10693359375,270568,2026-03-19T05:07:05.616033+00:00,yfinance,0.003156,7762.27,7728.86,50.09,0.021328,0.00262,2026-03-19T05:07:25.428521,0.001464
BAJAJ-AUTO.NS,2025-05-07,7719.848472436775,7780.803627452541,7618.4190944905395,7654.9921875,459640,2026-03-19T05:07:05.616033+00:00,yfinance,-0.012145,7717.51,7725.78,46.61,0.021026,-0.009163,2026-03-19T05:07:25.428521,-0.028703
BAJAJ-AUTO.NS,2025-05-08,7656.455421713936,7674.985789590194,7480.416926889483,7533.56982421875,461725,2026-03-19T05:07:05.616033+00:00,yfinance,-0.015862,7657.92,7727.7,42.5,0.020293,-0.025121,2026-03-19T05:07:25.428521,0.003172
BAJAJ-AUTO.NS,2025-05-09,7431.652753060934,7552.100143481278,7423.850492952733,7492.60791015625,248982,2026-03-19T05:07:05.616033+00:00,yfinance,-0.005437,7631.0,7746.02,41.18,0.016694,-0.032715,2026-03-19T05:07:25.428521,-0.003393
BAJAJ-AUTO.NS,2025-05-12,7607.203531683407,7849.561233942808,7585.747316594044,7840.78369140625,296774,2026-03-19T05:07:05.616033+00:00,yfinance,0.046469,7654.21,7772.42,54.19,0.018696,0.008796,2026-03-19T05:07:25.428521,0.012323
BAJAJ-AUTO.NS,2025-05-13,7840.783498437354,7908.565630801481,7753.49571647204,7863.70263671875,407395,2026-03-19T05:07:05.616033+00:00,yfinance,0.002923,7677.13,7796.35,54.9,0.018638,0.008639,2026-03-19T05:07:25.428521,0.012889
BAJAJ-AUTO.NS,2025-05-14,7890.035531086085,8005.118867633447,7833.469145325517,7902.2265625,225717,2026-03-19T05:07:05.616033+00:00,yfinance,0.004899,7726.58,7812.62,56.13,0.017871,0.011469,2026-03-19T05:07:25.428521,-0.003285
BAJAJ-AUTO.NS,2025-05-15,7933.923189711633,8159.213448694226,7877.356804339381,8120.2021484375,497959,2026-03-19T05:07:05.616033+00:00,yfinance,0.027584,7843.9,7828.74,62.36,0.017748,0.03723,2026-03-19T05:07:25.428521,0.008403
BAJAJ-AUTO.NS,2025-05-16,8143.609050342618,8285.02501588749,8075.339273872679,8272.833984375,483122,2026-03-19T05:07:05.616033+00:00,yfinance,0.018797,7999.95,7854.15,66.01,0.018054,0.053307,2026-03-19T05:07:25.428521,0.012567
BAJAJ-AUTO.NS,2025-05-19,8289.901421361286,8642.46605239918,8282.099161200005,8632.2255859375,858221,2026-03-19T05:07:05.616033+00:00,yfinance,0.043442,8158.24,7894.77,72.71,0.02016,0.093411,2026-03-19T05:07:25.428521,0.03929
BAJAJ-AUTO.NS,2025-05-20,8631.250444669438,8631.250444669438,8315.746544234347,8353.294921875,449936,2026-03-19T05:07:05.616033+00:00,yfinance,-0.032313,8256.16,7910.25,62.42,0.021012,0.056009,2026-03-19T05:07:25.428521,-0.010635
BAJAJ-AUTO.NS,2025-05-21,8395.231643884892,8548.350994267086,8324.52366361286,8472.7666015625,572628,2026-03-19T05:07:05.616033+00:00,yfinance,0.014302,8370.26,7936.9,64.72,0.020869,0.067516,2026-03-19T05:07:25.428521,0.007124
BAJAJ-AUTO.NS,2025-05-22,8445.946617639693,8558.591748625533,8302.092446034398,8517.6298828125,916615,2026-03-19T05:07:05.616033+00:00,yfinance,0.005295,8449.75,7959.91,65.58,0.020705,0.070066,2026-03-19T05:07:25.428521,0.01543
BAJAJ-AUTO.NS,2025-05-23,8548.351115946938,8619.546738475647,8498.61170842688,8524.9443359375,321989,2026-03-19T05:07:05.616033+00:00,yfinance,0.000859,8500.17,7986.22,65.72,0.020572,0.067457,2026-03-19T05:07:25.428521,-0.0015
BAJAJ-AUTO.NS,2025-05-26,8567.369202760472,8756.574009560578,8553.227606375927,8737.068359375,440577,2026-03-19T05:07:05.616033+00:00,yfinance,0.024883,8521.14,8031.31,69.72,0.020305,0.087876,2026-03-19T05:07:25.428521,0.014341
BAJAJ-AUTO.NS,2025-05-27,8723.901946282635,8781.93125492476,8680.501875113314,8741.45703125,401273,2026-03-19T05:07:05.616033+00:00,yfinance,0.000502,8598.77,8073.58,69.8,0.02033,0.082724,2026-03-19T05:07:25.428521,0.007498
BAJAJ-AUTO.NS,2025-05-28,8767.789239735775,8784.369041412694,8558.10351264532,8630.2744140625,312080,2026-03-19T05:07:05.616033+00:00,yfinance,-0.012719,8630.27,8111.16,65.19,0.020668,0.064,2026-03-19T05:07:25.428521,-0.005945
BAJAJ-AUTO.NS,2025-05-29,8686.841212445066,8719.02553488929,8584.436550122542,8655.14453125,330341,2026-03-19T05:07:05.616033+00:00,yfinance,0.002882,8657.78,8152.34,65.73,0.02052,0.061676,2026-03-19T05:07:25.428521,-0.002183
BAJAJ-AUTO.NS,2025-05-30,8569.807693433579,8645.87973168188,8372.800620021313,8394.2568359375,1434828,2026-03-19T05:07:05.616033+00:00,yfinance,-0.030143,8631.64,8190.69,55.86,0.020862,0.024853,2026-03-19T05:07:25.428521,-0.020373
BAJAJ-AUTO.NS,2025-06-02,8408.397890517175,8408.397890517175,8207.00205865592,8303.0673828125,457251,2026-03-19T05:07:05.616033+00:00,yfinance,-0.010863,8544.84,8219.61,52.87,0.021067,0.010153,2026-03-19T05:07:25.428521,-0.010925
BAJAJ-AUTO.NS,2025-06-03,8302.579626737124,8387.429201214527,8280.148130036201,8351.34375,566074,2026-03-19T05:07:05.616033+00:00,yfinance,0.005814,8466.82,8249.72,54.26,0.021071,0.012318,2026-03-19T05:07:25.428521,0.008315
BAJAJ-AUTO.NS,2025-06-04,8339.15335823006,8426.92878682964,8316.23421854017,8351.83203125,431009,2026-03-19T05:07:05.616033+00:00,yfinance,5.8e-05,8411.13,8284.56,54.28,0.020755,0.00812,2026-03-19T05:07:25.428521,-0.002688
BAJAJ-AUTO.NS,2025-06-05,8401.082950125987,8401.082950125987,8299.165935000821,8345.9794921875,381642,2026-03-19T05:07:05.616033+00:00,yfinance,-0.000701,8349.3,8325.18,54.05,0.02024,0.002498,2026-03-19T05:07:25.428521,0.00043
BAJAJ-AUTO.NS,2025-06-06,8395.231456958434,8470.328206747678,8329.887531817145,8423.5146484375,435024,2026-03-19T05:07:05.616033+00:00,yfinance,0.00929,8355.15,8371.73,56.62,0.020095,0.006186,2026-03-19T05:07:25.428521,-0.005946
